Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056750,E00056750,-8,Does not apply,151
E00056750,E00056750,1,Less than 2km,31
E00056750,E00056750,2,2km to less than 5km,14
E00056750,E00056750,3,5km to less than 10km,16
E00056750,E00056750,4,10km to less than 20km,38
E00056750,E00056750,5,20km to less than 30km,1
E00056750,E00056750,6,30km to less than 40km,1
E00056750,E00056750,7,40km to less than 60km,3
E00056750,E00056750,8,60km and over,0
E00056750,E00056750,9,Works mainly from home,39
E00056750,E00056750,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",18
E00056751,E00056751,-8,Does not apply,133
E00056751,E00056751,1,Less than 2km,14
E00056751,E00056751,2,2km to less than 5km,16
E00056751,E00056751,3,5km to less than 10km,13
E00056751,E00056751,4,10km to less than 20km,34
E00056751,E00056751,5,20km to less than 30km,1
E00056751,E00056751,6,30km to less than 40km,0
E00056751,E00056751,7,40km to less than 60km,0
E00056751,E00056751,8,60km and over,3
E00056751,E00056751,9,Works mainly from home,49
E00056751,E00056751,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",22
E00056752,E00056752,-8,Does not apply,204
E00056752,E00056752,1,Less than 2km,32
E00056752,E00056752,2,2km to less than 5km,13
E00056752,E00056752,3,5km to less than 10km,31
E00056752,E00056752,4,10km to less than 20km,48
E00056752,E00056752,5,20km to less than 30km,6
E00056752,E00056752,6,30km to less than 40km,1
E00056752,E00056752,7,40km to less than 60km,1
E00056752,E00056752,8,60km and over,1
E00056752,E00056752,9,Works mainly from home,86
E00056752,E00056752,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",35
E00056753,E00056753,-8,Does not apply,150
E00056753,E00056753,1,Less than 2km,16
E00056753,E00056753,2,2km to less than 5km,2
E00056753,E00056753,3,5km to less than 10km,9
E00056753,E00056753,4,10km to less than 20km,7
E00056753,E00056753,5,20km to less than 30km,4
E00056753,E00056753,6,30km to less than 40km,0
E00056753,E00056753,7,40km to less than 60km,0
E00056753,E00056753,8,60km and over,0
E00056753,E00056753,9,Works mainly from home,26
E00056753,E00056753,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056754,E00056754,-8,Does not apply,105
E00056754,E00056754,1,Less than 2km,28
E00056754,E00056754,2,2km to less than 5km,11
